Domain,IP_Addresses,TTLs
bsky.app,3.15.48.43,IN
58,3.137.24.46,IN
58,16.58.189.74,IN
abc.net.au,2.19.220.113,18
youtu.be,142.250.184.14,299
canada.ca,160.106.123.29,298
,167.40.79.24,298
,205.193.117.159,298
,205.193.215.159,298
cbc.ca,23.51.106.3,9
admin.ch,162.23.130.190,3419
zclfg-pro.v.bsgslb.cn,154.85.94.11,58
,154.85.94.12,58
,154.85.94.13,58
,154.85.94.14,58
,154.85.94.15,58
,154.85.94.16,58
,154.85.94.17,58
,154.85.94.18,58
,154.85.94.19,58
,154.85.94.20,58
,154.85.94.21,58
,154.85.94.23,58
,154.85.94.24,58
,154.85.94.25,58
,154.85.94.26,58
people.com.cn,49.7.133.88,299
sina.com.cn,36.51.254.91,57
g.co,172.217.20.238,300
t.co,151.101.194.146,213
163.com,59.111.160.244,594
about.com,162.159.141.224,298
,172.66.1.220,298
addtoany.com,104.20.20.192,300
,172.66.171.172,300
300,13,RRSIG
adobe.com,95.100.109.78,19
,95.100.109.95,19
akismet.com,192.0.78.24,105
,192.0.78.25,105
alibaba.com,47.246.131.198,118
,47.246.136.52,118
,47.246.136.156,118
,47.246.137.105,118
aliexpress.com,47.246.173.30,598
,47.246.173.237,598
aliyun.com,106.11.172.9,297
,106.11.248.146,297
,106.11.249.99,297
,106.11.253.83,297
,140.205.60.46,297
,140.205.135.3,297
aljazeera.com,13.51.57.184,50
,13.63.23.141,50
,51.21.203.227,50
amazon.com,98.82.161.185,530
,98.87.170.71,530
,98.87.170.74,530
amazonaws.com,72.21.206.80,129
,72.21.210.29,129
,207.171.166.22,129
s3.amazonaws.com,16.15.183.105,3
,16.15.184.110,3
,16.15.218.178,3
,16.15.218.199,3
,52.216.38.32,3
,52.216.56.64,3
,52.217.126.224,3
,54.231.202.96,3
android.com,142.250.184.4,298
aol.com,13.248.158.7,1129
,76.223.84.192,1129
apnews.com,104.16.22.8,297
,104.16.23.8,297
297,13,RRSIG
apple.com,17.253.144.10,703
arcgis.com,13.224.83.30,57
,13.224.83.51,57
,13.224.83.76,57
,13.224.83.108,57
57,13,RRSIG
arstechnica.com,3.128.159.145,12
,16.58.156.191,12
baidu.com,110.242.74.102,403
,111.63.65.103,403
,111.63.65.247,403
,124.237.177.164,403
bandcamp.com,151.101.1.91,14334
,151.101.65.91,14334
,151.101.129.91,14334
,151.101.193.91,14334
bbc.com,151.101.0.81,164
,151.101.64.81,164
,151.101.128.81,164
,151.101.192.81,164
bilibili.com,8.134.50.24,16
,47.103.24.173,16
,119.3.70.188,16
,139.159.241.37,16
bing.com,150.171.27.10,2835
,150.171.28.10,2835
biomedcentral.com,151.101.120.95,45
blogger.com,142.250.184.9,300
blogspot.com,172.217.17.9,299
bloomberg.com,3.33.146.110,20786
,15.197.146.156,20786
bmj.com,65.8.202.5,58
,65.8.202.41,58
,65.8.202.58,58
,65.8.202.89,58
booking.com,18.154.48.8,57
,18.154.48.10,57
,18.154.48.22,57
,18.154.48.129,57
britannica.com,52.0.110.105,53
,100.29.55.46,53
businessinsider.com,151.101.1.171,12087
,151.101.65.171,12087
,151.101.129.171,12087
,151.101.193.171,12087
businesswire.com,104.83.79.226,17
buydomains.com,104.18.41.145,298
,172.64.146.111,298
buzzfeed.com,151.101.2.114,298
,151.101.66.114,298
,151.101.130.114,298
,151.101.194.114,298
calendly.com,104.18.41.175,299
,172.64.146.81,299
299,13,RRSIG
canva.com,108.157.113.9,60
,108.157.113.12,60
,108.157.113.50,60
,108.157.113.106,60
60,13,RRSIG
cbsnews.com,151.101.1.188,53
,151.101.65.188,53
,151.101.129.188,53
,151.101.193.188,53
chatgpt.com,104.18.32.47,219
,172.64.155.209,219
219,13,RRSIG
cisco.com,72.163.4.185,177
cloudflare.com,104.16.132.229,219
,104.16.133.229,219
219,13,RRSIG
cnbc.com,44.210.213.64,40
,72.44.35.234,40
,100.31.164.254,40
cnet.com,199.232.194.154,300
,199.232.198.154,300
cnn.com,151.101.3.5,7
,151.101.67.5,7
,151.101.131.5,7
,151.101.195.5,7
dailymotion.com,195.8.215.136,17920
dell.com,143.166.30.172,565
,143.166.136.12,565
deloitte.com,170.194.135.123,2591
deviantart.com,52.222.132.5,57
,52.222.132.77,57
,52.222.132.128,57
,52.222.132.129,57
discord.com,162.159.128.233,177
,162.159.135.232,177
,162.159.136.232,177
,162.159.137.232,177
,162.159.138.232,177
177,13,RRSIG
disqus.com,151.101.0.134,3427
,151.101.64.134,3427
,151.101.128.134,3427
,151.101.192.134,3427
docker.com,23.185.0.4,7
dribbble.com,18.245.86.17,3597
,18.245.86.35,3597
,18.245.86.61,3597
,18.245.86.129,3597
dropbox.com,162.125.248.18,38
dropcatch.com,104.20.47.210,299
,172.66.151.154,299
dw.com,194.55.26.46,41
,194.55.30.46,41
ebay.com,95.100.104.10,12
,95.100.104.24,12
economist.com,104.18.42.19,43
,172.64.145.237,43
eepurl.com,23.211.234.144,17
elegantthemes.com,104.16.91.42,298
,104.16.92.42,298
elpais.com,2.23.103.154,18
,2.23.103.208,18
elsevier.com,34.243.46.252,1328
,52.212.180.87,1328
,54.195.96.253,1328
enable-javascript.com,34.90.220.148,298
engadget.com,13.248.158.7,299
,76.223.84.192,299
entrepreneur.com,151.101.2.217,21598
,151.101.66.217,21598
,151.101.130.217,21598
,151.101.194.217,21598
etsy.com,151.101.1.224,3571
,151.101.65.224,3571
,151.101.129.224,3571
,151.101.193.224,3571
eu.com,54.153.56.183,583
583,7,RRSIG
eventbrite.com,65.8.202.2,54
,65.8.202.4,54
,65.8.202.11,54
,65.8.202.109,54
example.com,104.18.26.120,299
,104.18.27.120,299
299,13,RRSIG
expireddomains.com,104.26.14.122,299
,104.26.15.122,299
,172.67.69.86,299
facebook.com,31.13.83.36,59
star.c10r.facebook.com,31.13.83.8,48
z-m.c10r.facebook.com,31.13.83.37,59
fandom.com,199.232.208.194,48
,199.232.212.194,48
fastcompany.com,151.101.1.54,2071
,151.101.65.54,2071
,151.101.129.54,2071
,151.101.193.54,2071
fb.com,31.13.83.36,54
firefox.com,35.190.14.201,7
flickr.com,52.222.132.39,59
,52.222.132.63,59
,52.222.132.107,59
,52.222.132.123,59
forbes.com,151.101.2.49,10599
,151.101.66.49,10599
,151.101.130.49,10599
,151.101.194.49,10599
fortune.com,52.222.132.23,58
,52.222.132.26,58
,52.222.132.42,58
,52.222.132.125,58
foxnews.com,2.22.5.130,706
706,13,RRSIG
freepik.com,34.160.205.140,19558
ft.com,151.101.2.46,3600
,151.101.66.46,3600
,151.101.130.46,3600
,151.101.194.46,3600
gartner.com,75.2.50.126,610
,99.83.168.174,610
geocities.com,13.248.158.7,28
,76.223.84.192,28
getbootstrap.com,104.20.26.6,298
,172.66.169.22,298
298,13,RRSIG
giphy.com,151.101.1.91,870
,151.101.65.91,870
,151.101.129.91,870
,151.101.193.91,870
git-scm.com,104.20.47.174,299
,172.66.149.185,299
github.com,140.82.121.3,59
gitlab.com,172.65.251.78,300
about.gitlab.com,104.18.43.134,298
,172.64.144.122,298
gizmodo.com,104.26.2.63,295
,104.26.3.63,295
,172.67.74.173,295
295,13,RRSIG
globenewswire.com,34.224.253.160,58
,52.44.202.67,58
go.com,13.248.150.189,2223
,76.223.18.1,2223
godaddy.com,198.71.249.70,11
gofundme.com,65.8.202.19,58
,65.8.202.33,58
,65.8.202.45,58
,65.8.202.121,58
goodreads.com,44.215.118.51,46
,44.215.119.15,46
,44.215.128.96,46
google.com,142.250.185.14,55
books.google.com,216.58.215.142,256
docs.google.com,142.250.185.14,166
drive.google.com,142.250.200.110,159
scholar.l.google.com,64.233.167.99,297
,64.233.167.103,297
,64.233.167.104,297
,64.233.167.105,297
,64.233.167.106,297
,64.233.167.147,297
mail.google.com,172.217.168.165,222
maps.google.com,172.217.20.238,299
news.google.com,142.250.185.14,90
play.google.com,142.250.184.14,78
plus.google.com,142.250.184.14,292
policies.google.com,142.250.185.14,299
sites.google.com,142.251.142.142,51
translate.google.com,216.58.215.174,175
googleapis.com,172.217.20.228,49
googleblog.com,172.217.20.225,292
googletagmanager.com,142.250.200.104,299
googleusercontent.com,172.217.20.225,293
blogspot.l.googleusercontent.com,142.251.142.129,299
gravatar.com,192.0.80.239,11
,192.0.80.240,11
,192.0.80.241,11
,192.0.80.242,11
healthline.com,65.8.202.26,57
,65.8.202.74,57
,65.8.202.75,57
,65.8.202.96,57
hilton.com,167.187.200.23,295
hp.com,18.239.50.6,11
,18.239.50.45,11
,18.239.50.109,11
,18.239.50.112,11
huawei.com,121.37.49.12,177
hubspot.com,104.17.91.187,300
,104.17.92.187,300
300,13,RRSIG
huffingtonpost.com,52.222.132.26,57
,52.222.132.36,57
,52.222.132.53,57
,52.222.132.82,57
huffpost.com,151.101.2.114,82
,151.101.66.114,82
,151.101.130.114,82
,151.101.194.114,82
hugedomains.com,104.26.6.37,298
,104.26.7.37,298
,172.67.70.191,298
ibm.com,104.121.27.175,14
ikea.com,104.18.12.173,142
,104.18.13.173,142
142,13,RRSIG
imdb.com,44.215.137.99,165
,98.82.155.134,165
,98.82.158.179,165
imgur.com,199.232.192.193,5558
,199.232.196.193,5558
inc.com,151.101.1.54,3598
,151.101.65.54,3598
,151.101.129.54,3598
,151.101.193.54,3598
indeed.com,162.159.129.67,297
,162.159.130.67,297
297,13,RRSIG
indiatimes.com,104.83.12.76,17
instagram.com,31.13.83.174,59
intel.com,13.91.95.74,114
intuit.com,2.20.169.70,18
investopedia.com,162.159.141.224,297
,172.66.1.220,297
issuu.com,151.101.1.55,3392
,151.101.65.55,3392
,151.101.129.55,3392
,151.101.193.55,3392
3392,13,RRSIG
it.com,185.174.235.118,28
28,13,RRSIG
jamanetwork.com,104.18.12.179,581
,104.18.13.179,581
jd.com,106.39.171.134,11
,111.13.149.108,11
,211.144.24.218,11
,211.144.27.126,11
23a72c571eab6919.cdn.jiashule.com,111.62.149.129,113
,124.238.251.188,113
jimdo.com,162.159.128.70,59
,162.159.129.70,59
jotform.com,34.102.158.113,27
27,13,RRSIG
jquery.com,104.18.155.119,298
,104.18.156.119,298
kickstarter.com,104.18.38.159,294
,172.64.149.97,294
latimes.com,13.248.222.133,117
,76.223.88.230,117
linkedin.com,150.171.22.12,135
list-manage.com,205.201.132.96,1551
live.com,204.79.197.212,3218
livejournal.com,81.19.74.0,511
,81.19.74.1,511
macromedia.com,192.150.16.118,1769
mailchimp.com,2.22.84.81,17
marketwatch.com,13.224.83.6,58
,13.224.83.30,58
,13.224.83.103,58
,13.224.83.107,58
marriott.com,2.22.120.164,17
mashable.com,104.18.42.17,295
,172.64.145.239,295
matterport.com,104.18.41.159,177
,172.64.146.97,177
mckinsey.com,157.191.4.253,215
mdpi.com,2.16.8.35,27
,2.17.35.10,27
27,13,RRSIG
medicalnewstoday.com,18.67.250.27,58
,18.67.250.72,58
,18.67.250.96,58
,18.67.250.114,58
medium.com,162.159.152.4,299
,162.159.153.4,299
meetup.com,151.101.2.217,3
,151.101.66.217,3
,151.101.130.217,3
,151.101.194.217,3
merriam-webster.com,65.8.202.3,55
,65.8.202.27,55
,65.8.202.44,55
,65.8.202.129,55
microsoft.com,13.107.213.43,411
,13.107.246.43,411
msn.com,204.79.197.219,1501
myshopify.com,23.227.38.32,3600
myspace.com,34.111.176.156,10
mysql.com,138.1.33.162,9
nationalgeographic.com,99.84.9.25,54
,99.84.9.28,54
,99.84.9.44,54
,99.84.9.112,54
nature.com,151.101.204.95,21
naver.com,223.130.192.247,72
,223.130.192.248,72
,223.130.200.219,72
,223.130.200.236,72
nbcnews.com,34.206.62.195,177
,44.219.25.60,177
,52.37.236.218,177
,54.69.127.167,177
netflix.com,3.251.50.149,57
,54.74.73.31,57
,54.155.178.5,57
newsweek.com,15.197.200.96,298
,76.223.48.94,298
newyorker.com,52.223.6.210,298
,166.117.251.134,298
nginx.com,159.60.134.0,433
nvidia.com,34.194.97.138,6427
nypost.com,192.0.66.32,52
nytimes.com,151.101.1.164,76
,151.101.65.164,76
,151.101.129.164,76
,151.101.193.164,76
odoo.com,178.33.40.43,22
office.com,13.107.6.156,75
MAD-efz.ms-acdc.office.com,52.97.117.18,10
,52.97.117.34,10
,52.98.248.194,10
,52.98.250.178,10
olc-g2.tm-4.office.com,52.97.117.2,10
,52.97.117.18,10
,52.97.117.34,10
,52.97.117.50,10
,52.98.248.194,10
,52.98.248.210,10
,52.98.250.162,10
,52.98.250.178,10
office365.com,20.119.0.28,1884
,40.112.243.53,1884
openai.com,104.18.33.45,6
,172.64.154.211,6
opera.com,185.26.182.103,386
,185.26.182.104,386
oracle.com,138.1.33.162,31
oreilly.com,34.169.83.167,298
oup.com,75.2.119.185,900
outlook.com,52.96.91.34,2
,52.96.111.82,2
,52.96.172.98,2
,52.96.214.50,2
,52.96.222.194,2
,52.96.222.226,2
,52.96.223.2,2
,52.96.228.130,2
,52.96.229.242,2
ovh.com,198.27.92.1,2993
ovhcloud.com,54.39.46.56,58
patreon.com,104.16.24.14,297
,104.16.25.14,297
paypal.com,151.101.3.1,154
,151.101.195.1,154
,162.159.141.96,154
154,13,RRSIG
pexels.com,104.18.66.220,297
,104.18.67.220,297
pinterest.com,151.101.0.84,234
,151.101.64.84,234
,151.101.128.84,234
,151.101.192.84,234
pixabay.com,104.18.40.96,300
,172.64.147.160,300
300,13,RRSIG
plesk.com,104.18.40.121,299
,172.64.147.135,299
prnewswire.com,104.18.32.47,293
,172.64.155.209,293
psychologytoday.com,34.199.99.249,57
,44.218.31.255,57
57,13,RRSIG
qq.com,113.108.81.189,591
,123.150.76.218,591
,203.205.254.157,591
mpv6.weixin.qq.com,203.205.232.110,599
,203.205.239.154,599
quora.com,3.215.202.186,57
,18.210.114.85,57
,44.195.133.232,57
,44.209.198.53,57
reddit.com,151.101.1.140,159
,151.101.65.140,159
,151.101.129.140,159
,151.101.193.140,159
redhat.com,34.235.198.240,2338
,52.200.142.250,2338
reuters.com,155.46.172.255,299
sagepub.com,13.64.115.186,1165
salesforce.com,23.1.35.132,19
,23.1.99.130,19
,23.1.106.133,19
,104.109.10.129,19
,104.109.11.129,19
,184.25.179.132,19
,184.31.3.130,19
,184.31.10.133,19
19,13,RRSIG
samsung.com,211.45.27.231,154
sciencedaily.com,104.26.4.15,298
,104.26.5.15,298
,172.67.75.166,298
sciencedirect.com,203.22.241.8,299
,203.22.241.9,299
,203.22.241.10,299
,203.22.241.11,299
scientificamerican.com,151.101.1.55,294
,151.101.65.55,294
,151.101.129.55,294
,151.101.193.55,294
scribd.com,151.101.2.152,273
,151.101.66.152,273
,151.101.130.152,273
,151.101.194.152,273
sedo.com,104.16.140.114,297
,104.16.141.114,297
sharepoint.com,13.107.136.10,2193
,13.107.138.10,2193
shopify.com,23.227.38.33,59
skype.com,20.70.246.20,1757
,20.76.201.171,1757
,20.112.250.133,1757
,20.231.239.246,1757
